Country,Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share,Capital,Region,Subregion,Languages,Currencies
Chad,21560380,2.65,556675,17,1259200,-112304,5.83,15.7,22.7,0.26,N'Djamena,Africa,Middle Africa,"French, Arabic",Central African CFA franc
Kazakhstan,21083626,1.15,239872,8,2699700,-12814,2.92,29.7,55.2,0.25,Nur-Sultan,Asia,Central Asia,"Kazakh, Russian",Kazakhstani tenge
Somalia,20305907,3.31,651168,32,627340,15364,5.8,15.6,47.1,0.24,Mogadishu,Africa,Eastern Africa,"Somali, Arabic",Somali shilling
Chile,19945850,0.43,85929,27,743532,48106,1.12,37.4,85.1,0.24,Santiago,Americas,South America,Spanish,Chilean peso
Senegal,19366548,2.3,434582,101,192530,-13429,3.66,19.8,53.0,0.23,Dakar,Africa,Western Africa,French,West African CFA franc
Guatemala,18967978,1.5,280097,177,107160,-7432,2.23,23.8,57.1,0.23,Guatemala City,Americas,Central America,Spanish,Guatemalan quetzal
Romania,18800605,-0.57,-108045,82,230170,-28982,1.71,43.5,55.5,0.23,Bucharest,Europe,Eastern Europe,Romanian,Romanian leu
Netherlands,18448775,0.56,101956,547,33720,89379,1.44,41.5,88.9,0.22,Amsterdam,Europe,Western Europe,Dutch,Euro
Ecuador,18444506,0.85,154610,74,248360,-13851,1.78,29.7,66.4,0.22,Quito,Americas,South America,Spanish,United States dollar
Cambodia,18051219,1.14,203237,102,176520,-34323,2.49,26.4,26.9,0.22,Phnom Penh,Asia,South-Eastern Asia,Khmer,"Cambodian riel, United States dollar"
Zimbabwe,17273580,1.9,322785,45,386850,-54620,3.57,18.3,38.2,0.21,Harare,Africa,Southern Africa,"English, Shona, Northern Ndebele",Zambian kwacha
Guinea,15441993,2.27,342266,63,245720,-19725,3.96,18.5,40.9,0.19,Conakry,Africa,Western Africa,"French, Fula",Guinean franc
Benin,15170419,2.4,355959,135,112760,-6318,4.34,18.2,48.4,0.18,Porto-Novo,Africa,Western Africa,French,West African CFA franc
Rwanda,14889693,2.2,320352,604,24670,-7003,3.54,20.2,18.5,0.18,Kigali,Africa,Eastern Africa,"Kinyarwanda, English, French",Rwandan franc
Burundi,14729157,2.36,339154,574,25680,-35108,4.57,16.6,15.4,0.18,Gitega,Africa,Eastern Africa,"French, Kirundi",Burundian franc
Bolivia,12749291,1.33,167448,12,1083300,-3157,2.47,25.5,71.0,0.15,Sucre,Americas,South America,"Spanish, Aymara, Quechua",Bolivian boliviano
South Sudan,12436037,2.03,247249,20,610952,7974,3.63,19.0,28.3,0.15,Juba,Africa,Middle Africa,English,South Sudanese pound
Tunisia,12415138,0.54,66565,80,155360,-14794,1.79,33.4,72.2,0.15,Tunis,Africa,Northern Africa,Arabic,Tunisian dinar
Haiti,12037506,1.1,131411,437,27560,-31968,2.55,24.3,62.4,0.15,Port-au-Prince,Americas,Caribbean,"French, Haitian",Haitian gourde
Belgium,11774642,0.14,16039,389,30280,29607,1.4,42.1,99.0,0.14,Brussels,Europe,Western Europe,"Dutch, French, German",Euro
Dominican Republic,11609500,0.77,89013,240,48320,-35038,2.17,28.7,86.9,0.14,Santo Domingo,Americas,Caribbean,Spanish,Dominican peso
Jordan,11589532,0.6,68848,131,88780,60699,2.54,24.9,85.4,0.14,Amman,Asia,Western Asia,Arabic,Jordanian dinar
United Arab Emirates,11574682,2.02,228682,138,83600,87401,1.21,31.6,80.7,0.14,Abu Dhabi,Asia,Western Asia,Arabic,United Arab Emirates dirham
Honduras,11184760,1.63,178910,100,111890,-4603,2.42,24.6,58.8,0.13,Tegucigalpa,Americas,Central America,Spanish,Honduran lempira
Tajikistan,10978599,1.78,191865,78,139960,-20198,2.96,22.4,28.0,0.13,Dushanbe,Asia,Central Asia,"Tajik, Russian",Tajikistani somoni
Papua New Guinea,10947848,1.72,185031,24,452860,-534,2.99,23.0,12.7,0.13,Port Moresby,Oceania,Melanesia,English,Papua New Guinean kina
Cuba,10892659,-0.41,-44544,102,106440,-22086,1.46,42.5,82.4,0.13,Havana,Americas,Caribbean,Spanish,"Cuban convertible peso, Cuban peso"
Sweden,10701047,0.42,44414,26,410340,42755,1.45,40.4,87.7,0.13,Stockholm,Europe,Northern Europe,Swedish,Swedish krona
Czech Republic (Czechia),10527781,-0.77,-81458,136,77240,13400,1.47,44.3,75.7,0.13,Prague,Europe,Central Europe,"Czech, Slovak",Czech koruna
Azerbaijan,10454855,0.55,57142,126,82658,7708,1.66,34.1,59.1,0.13,Baku,Asia,Western Asia,Azerbaijani,Azerbaijani manat
Portugal,10395362,-0.16,-16472,113,91590,16968,1.52,47.2,66.9,0.13,Lisbon,Europe,Southern Europe,Portuguese,Euro
Togo,9930918,2.15,209310,183,54390,-12642,4.01,19.2,44.8,0.12,Lomé,Africa,Western Africa,French,West African CFA franc
Greece,9897115,-0.42,-41729,77,128900,14649,1.34,47.1,90.0,0.12,Athens,Europe,Southern Europe,Greek (modern),Euro
Israel,9647689,1.37,130508,446,21640,13023,2.73,29.3,91.5,0.12,Jerusalem,Asia,Western Asia,"Hebrew (modern), Arabic",Israeli new shekel
Hungary,9585818,-0.48,-46469,106,90530,12936,1.5,44.2,72.4,0.12,Budapest,Europe,Central Europe,Hungarian,Hungarian forint
Austria,9107266,-0.07,-6308,111,82409,13212,1.34,43.9,59.0,0.11,Vienna,Europe,Central Europe,German,Euro
Switzerland,9007798,0.45,40391,228,39516,34096,1.45,43.2,74.6,0.11,Bern,Europe,Central Europe,"German, French, Italian, Romansh",Swiss franc
Sierra Leone,8996745,2.01,176951,125,72180,-12277,3.53,19.9,46.0,0.11,Freetown,Africa,Western Africa,English,Sierra Leonean leone
Belarus,8937018,-0.67,-60585,44,202910,-3608,1.23,41.8,85.1,0.11,Minsk,Europe,Eastern Europe,"Belarusian, Russian","New Belarusian ruble, Old Belarusian ruble"
Laos,7974017,1.28,100971,35,230800,-11125,2.33,25.3,38.9,0.096,Vientiane,Asia,South-Eastern Asia,Lao,Lao kip
Turkmenistan,7736632,1.55,117785,16,469930,11792,2.6,27.3,46.7,0.093,Ashgabat,Asia,Central Asia,"Turkmen, Russian",Turkmenistan manat
Libya,7539851,1.09,81296,4,1759540,2610,2.21,28.0,77.7,0.091,Tripoli,Africa,Northern Africa,Arabic,Libyan dinar
Kyrgyzstan,7400465,1.45,105431,39,191800,39,2.72,25.5,35.5,0.089,Bishkek,Asia,Central Asia,"Kyrgyz, Russian",Kyrgyzstani som
Hong Kong,7378602,-0.24,-17474,7027,1050,-12576,0.75,47.9,,0.089,City of Victoria,Asia,Eastern Asia,"English, Chinese",Hong Kong dollar
Nicaragua,7097329,1.28,89827,59,120340,-8485,2.16,26.3,58.2,0.086,Managua,Americas,Central America,Spanish,Nicaraguan córdoba
Paraguay,7095279,1.17,82201,18,397300,-12243,2.37,27.3,68.3,0.085,Asunción,Americas,South America,"Spanish, Guaraní",Paraguayan guaraní
Bulgaria,6667659,-0.7,-46901,61,108560,-5722,1.74,45.0,77.4,0.08,Sofia,Europe,Eastern Europe,Bulgarian,Bulgarian lev
Serbia,6641964,-0.7,-47075,76,87460,-5883,1.5,44.7,74.2,0.08,Belgrade,Europe,Southern Europe,Serbian,Serbian dinar
